RA,NOME,REGIONAl,CodRegional,Marca,CodMarca,Campus,CodCampus
13135995,Ana Clara da Cruz,Centro-Oeste,3,IES GO,8,Campus GO 3,42
13135996,Bruno Nunes,Centro-Oeste,3,IES DF,9,Campus DF 3,43
13135997,Daniela Fernandes,Centro-Oeste,3,IES MT,10,Campus MT 3,44
13135998,Gustavo Melo,Sudeste,4,IES SP,11,Campus SP 3,45
13135999,Agatha Santos,Sudeste,4,IES ES,12,Campus ES 3,46
13136000,Joaquim Peixoto,Sudeste,4,IES RJ,13,Campus RJ 3,47
13136001,João Gabriel Pires,Sudeste,4,IES MG,14,Campus MG 3,48
13136002,Lavínia Ramos,Sul,5,IES RS,15,Campus RS 3,49
13136003,Nina Almeida,Sul,5,IES SC,16,Campus SC 3,50
13136004,Murilo Vieira,Sul,5,IES PR,17,Campus PR 3,51
13136005,Sofia Farias,Norte,1,IES AM,1,Campus AM 4,52
13136006,Davi Lucca Silva,Norte,1,IES RR,2,Campus RR 4,53
13136007,Alexandre da Paz,Norte,1,IES PA,3,Campus PA 4,54
13136008,Heitor Cunha,Nordeste,2,IES BA,4,Campus BA 4,55
13136009,Nathan Martins,Nordeste,2,IES RN,5,Campus RN 4,56
13136010,Srta. Beatriz Pereira,Nordeste,2,IES SE,6,Campus SE 4,57
13136011,Benjamin Viana,Nordeste,2,IES AL,7,Campus AL 4,58
13136012,Dr. Davi Lucas Caldeira,Centro-Oeste,3,IES GO,8,Campus GO 4,59
13136013,Ana Beatriz Porto,Centro-Oeste,3,IES DF,9,Campus DF 4,60
13136014,Maria Eduarda Nascimento,Centro-Oeste,3,IES MT,10,Campus MT 4,61
13136015,Calebe Teixeira,Sudeste,4,IES SP,11,Campus SP 4,62
13136016,Emanuella da Cunha,Sudeste,4,IES ES,12,Campus ES 4,63
13136017,Caio da Rocha,Sudeste,4,IES RJ,13,Campus RJ 4,64
13136018,Cauã da Mata,Sudeste,4,IES SP,11,Campus SP 1,11
13136019,Nathan Rezende,Sudeste,4,IES ES,12,Campus ES 1,12
13136020,Sr. Raul Novaes,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136021,Rafael Rezende,Sudeste,4,IES MG,14,Campus MG 1,14
13136022,João Guilherme Jesus,Sul,5,IES RS,15,Campus RS 1,15
13136023,Vitor Hugo Azevedo,Sul,5,IES SC,16,Campus SC 1,16
13136024,Sra. Milena da Rocha,Sul,5,IES PR,17,Campus PR 1,17
13136025,Heitor Almeida,Norte,1,IES AM,1,Campus AM 2,18
13136026,Dr. Enzo Gabriel Nunes,Norte,1,IES RR,2,Campus RR 2,19
13136027,Davi Luiz da Mota,Norte,1,IES PA,3,Campus PA 2,20
13136028,Mariane Pinto,Nordeste,2,IES BA,4,Campus BA 2,21
13136029,Srta. Cecília Costa,Nordeste,2,IES RN,5,Campus RN 2,22
13136030,Pedro Mendes,Nordeste,2,IES SE,6,Campus SE 2,23
13136031,Benício Dias,Nordeste,2,IES AL,7,Campus AL 2,24
13136032,Emanuelly Castro,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13136033,Bruna Cavalcanti,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13136034,Kamilly Barbosa,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13136035,Caio Jesus,Sudeste,4,IES SP,11,Campus SP 2,28
13136036,Isis Carvalho,Sudeste,4,IES ES,12,Campus ES 2,29
13136037,Bernardo Sales,Sudeste,4,IES RJ,13,Campus RJ 2,30
13136038,Isabelly da Rocha,Sudeste,4,IES SP,11,Campus SP 1,11
13136039,Sophia Cardoso,Sudeste,4,IES ES,12,Campus ES 1,12
13136040,Giovanna Campos,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136041,Isis Araújo,Sudeste,4,IES MG,14,Campus MG 1,14
13136042,Sr. Cauê Cavalcanti,Sul,5,IES RS,15,Campus RS 1,15
13136043,Catarina Monteiro,Sul,5,IES SC,16,Campus SC 1,16
13136044,Sr. Ian Teixeira,Sul,5,IES PR,17,Campus PR 1,17
13136045,Olivia Santos,Norte,1,IES AM,1,Campus AM 2,18
13136046,Dr. Gustavo Ferreira,Norte,1,IES RR,2,Campus RR 2,19
13136047,Pedro Lucas Ribeiro,Norte,1,IES PA,3,Campus PA 2,20
13136048,Juan Viana,Nordeste,2,IES BA,4,Campus BA 2,21
13136049,Daniel Moura,Nordeste,2,IES RN,5,Campus RN 2,22
13136050,Cauê Farias,Nordeste,2,IES SE,6,Campus SE 2,23
13136051,Lavínia Farias,Nordeste,2,IES AL,7,Campus AL 2,24
13136052,Dr. Noah Pereira,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13136053,Caio Cardoso,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13136054,Guilherme Freitas,Norte,1,IES AM,1,Campus AM 1,1
13136055,Dra. Ana Vitória da Luz,Norte,1,IES RR,2,Campus RR 1,2
13136056,Luigi Moura,Norte,1,IES PA,3,Campus PA 1,3
13136057,Luiz Henrique Campos,Nordeste,2,IES BA,4,Campus BA 1,4
13136058,Julia Jesus,Nordeste,2,IES RN,5,Campus RN 1,5
13136059,Maria Julia Barros,Nordeste,2,IES SE,6,Campus SE 1,6
13136060,Maria Cecília Costela,Nordeste,2,IES AL,7,Campus AL 1,7
13136061,Sr. Benjamin Nascimento,Centro-Oeste,3,IES GO,8,Campus GO 1,8
13136062,João Pedro Farias,Centro-Oeste,3,IES DF,9,Campus DF 1,9
13136063,Vitor Vieira,Centro-Oeste,3,IES MT,10,Campus MT 1,10
13136064,Yago Aragão,Sudeste,4,IES SP,11,Campus SP 1,11
13136065,Dra. Lorena Silveira,Sudeste,4,IES ES,12,Campus ES 1,12
13136066,Davi Lucca da Rocha,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136067,Dr. Pedro Henrique Cardoso,Sudeste,4,IES MG,14,Campus MG 1,14
13136068,Maysa Duarte,Sul,5,IES RS,15,Campus RS 1,15
13136069,Eloah Peixoto,Sul,5,IES SC,16,Campus SC 1,16
13136070,Juan Martins,Sul,5,IES PR,17,Campus PR 1,17
13136071,Luiz Miguel Costa,Norte,1,IES AM,1,Campus AM 2,18
13136072,Ana Silva,Norte,1,IES RR,2,Campus RR 2,19
13136073,Gustavo Henrique Mendes,Norte,1,IES PA,3,Campus PA 2,20
13136074,Marcos Vinicius Aragão,Nordeste,2,IES BA,4,Campus BA 2,21
13136075,Gustavo Almeida,Nordeste,2,IES RN,5,Campus RN 2,22
13136076,Sr. Leandro Souza,Nordeste,2,IES SE,6,Campus SE 2,23
13136077,Benjamin Azevedo,Nordeste,2,IES AL,7,Campus AL 2,24
13136078,Rebeca Ribeiro,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13136079,Dra. Eduarda Viana,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13136080,Ana Julia Correia,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13136081,Pietro Ferreira,Sudeste,4,IES SP,11,Campus SP 2,28
13136082,Fernanda Rodrigues,Sudeste,4,IES ES,12,Campus ES 2,29
13136083,Stella Ferreira,Sudeste,4,IES RJ,13,Campus RJ 2,30
13136084,João Ribeiro,Sudeste,4,IES MG,14,Campus MG 2,31
13136085,Luigi da Conceição,Sul,5,IES RS,15,Campus RS 2,32
13136086,Francisco da Rosa,Sul,5,IES SC,16,Campus SC 2,33
13136087,Sra. Maria Julia da Mata,Sul,5,IES PR,17,Campus PR 2,34
13136088,Lívia Santos,Norte,1,IES AM,1,Campus AM 3,35
13136089,Otávio Rezende,Norte,1,IES RR,2,Campus RR 3,36
13136090,Francisco Lima,Norte,1,IES PA,3,Campus PA 3,37
13136091,Amanda Aragão,Nordeste,2,IES BA,4,Campus BA 3,38
13136092,Beatriz Moreira,Nordeste,2,IES RN,5,Campus RN 3,39
13136093,Calebe Teixeira,Nordeste,2,IES SE,6,Campus SE 3,40
13136094,Nina Cardoso,Nordeste,2,IES AL,7,Campus AL 3,41
13136095,Bryan Correia,Centro-Oeste,3,IES GO,8,Campus GO 3,42
13136096,Valentina Novaes,Centro-Oeste,3,IES DF,9,Campus DF 3,43
13136097,Carolina Moreira,Centro-Oeste,3,IES MT,10,Campus MT 3,44
13136098,Beatriz Ferreira,Sudeste,4,IES SP,11,Campus SP 3,45
13136099,Noah Nogueira,Sudeste,4,IES ES,12,Campus ES 3,46
13136100,Pedro Teixeira,Sudeste,4,IES RJ,13,Campus RJ 3,47
13136101,Sr. Igor Monteiro,Sudeste,4,IES MG,14,Campus MG 3,48
13136102,Benjamin Costela,Sul,5,IES RS,15,Campus RS 3,49
13136103,Natália Fogaça,Sul,5,IES SC,16,Campus SC 3,50
13136104,Calebe Cardoso,Sul,5,IES PR,17,Campus PR 3,51
13136105,Sra. Lara da Rosa,Norte,1,IES AM,1,Campus AM 4,52
13136106,Ana Clara Costela,Norte,1,IES RR,2,Campus RR 4,53
13136107,Dra. Ana Beatriz Gonçalves,Norte,1,IES PA,3,Campus PA 4,54
13136108,Sra. Maria da Rocha,Nordeste,2,IES BA,4,Campus BA 4,55
13136109,Ana Laura Moura,Nordeste,2,IES RN,5,Campus RN 4,56
13136110,Ana Vitória Fernandes,Nordeste,2,IES SE,6,Campus SE 4,57
13136111,Camila Moreira,Nordeste,2,IES AL,7,Campus AL 4,58
13136112,Melissa Porto,Centro-Oeste,3,IES GO,8,Campus GO 4,59
13136113,Vitor Dias,Centro-Oeste,3,IES DF,9,Campus DF 4,60
13136114,Antônio Pereira,Centro-Oeste,3,IES MT,10,Campus MT 4,61
13136115,Enrico Castro,Sudeste,4,IES SP,11,Campus SP 4,62
13136116,Fernando Pereira,Sudeste,4,IES ES,12,Campus ES 4,63
13136117,Enzo Gabriel Monteiro,Sudeste,4,IES RJ,13,Campus RJ 4,64
13136118,Amanda da Costa,Sudeste,4,IES SP,11,Campus SP 1,11
13136119,Natália da Paz,Sudeste,4,IES ES,12,Campus ES 1,12
13136120,Lara Moreira,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136121,Dra. Carolina Porto,Sudeste,4,IES MG,14,Campus MG 1,14
13136122,Vitor Hugo Porto,Sul,5,IES RS,15,Campus RS 1,15
13136123,Clarice Monteiro,Sul,5,IES SC,16,Campus SC 1,16
13136124,Laís Gomes,Sul,5,IES PR,17,Campus PR 1,17
13136125,Arthur Ramos,Norte,1,IES AM,1,Campus AM 2,18
13136126,Vitor Gabriel Pereira,Norte,1,IES RR,2,Campus RR 2,19
13136127,Levi Jesus,Norte,1,IES PA,3,Campus PA 2,20
13136128,João Guilherme Viana,Nordeste,2,IES BA,4,Campus BA 2,21
13136129,Luana Pires,Nordeste,2,IES RN,5,Campus RN 2,22
13136130,Eduarda Santos,Nordeste,2,IES SE,6,Campus SE 2,23
13136131,Emanuel da Paz,Nordeste,2,IES AL,7,Campus AL 2,24
13136132,Carolina Moraes,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13136133,Otávio Nascimento,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13136134,Raquel Barbosa,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13136135,Isabelly Mendes,Sudeste,4,IES SP,11,Campus SP 2,28
13136136,Sra. Lavínia da Costa,Sudeste,4,IES ES,12,Campus ES 2,29
13136137,Yuri Jesus,Sudeste,4,IES RJ,13,Campus RJ 2,30
13136138,Lorenzo da Luz,Sudeste,4,IES SP,11,Campus SP 1,11
13136139,Ana Lívia Moraes,Sudeste,4,IES ES,12,Campus ES 1,12
13136140,Luiz Miguel Freitas,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136141,Henrique Lopes,Sudeste,4,IES MG,14,Campus MG 1,14
13136142,Renan Moreira,Sul,5,IES RS,15,Campus RS 1,15
13136143,Sr. Lucas Gabriel Carvalho,Sul,5,IES SC,16,Campus SC 1,16
13136144,Lorenzo Cavalcanti,Sul,5,IES PR,17,Campus PR 1,17
13136145,Rebeca Moreira,Norte,1,IES AM,1,Campus AM 2,18
13136146,Vitor Gabriel Pereira,Norte,1,IES RR,2,Campus RR 2,19
13136147,Maria Luiza Castro,Norte,1,IES PA,3,Campus PA 2,20
13136148,Eduarda da Costa,Nordeste,2,IES BA,4,Campus BA 2,21
13136149,Leonardo Correia,Nordeste,2,IES RN,5,Campus RN 2,22
13136150,Marina Dias,Nordeste,2,IES SE,6,Campus SE 2,23
13136151,Clarice Alves,Nordeste,2,IES AL,7,Campus AL 2,24
13136152,Sra. Sophia Viana,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13136153,Camila da Costa,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13136154,Laís Campos,Norte,1,IES AM,1,Campus AM 1,1
13136155,Maria Clara Castro,Norte,1,IES RR,2,Campus RR 1,2
13136156,Pedro Henrique Rezende,Norte,1,IES PA,3,Campus PA 1,3
13136157,Luiz Felipe Castro,Nordeste,2,IES BA,4,Campus BA 1,4
13136158,Joana Nascimento,Nordeste,2,IES RN,5,Campus RN 1,5
13136159,Gustavo Castro,Nordeste,2,IES SE,6,Campus SE 1,6
13136160,Breno Aragão,Nordeste,2,IES AL,7,Campus AL 1,7
13136161,Pedro Henrique Barbosa,Centro-Oeste,3,IES GO,8,Campus GO 1,8
13136162,Bárbara Costela,Centro-Oeste,3,IES DF,9,Campus DF 1,9
13136163,João Gabriel Almeida,Centro-Oeste,3,IES MT,10,Campus MT 1,10
13136164,Raul Almeida,Sudeste,4,IES SP,11,Campus SP 1,11
13136165,Diogo Farias,Sudeste,4,IES ES,12,Campus ES 1,12
13136166,Leandro Peixoto,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136167,Dr. Marcelo Rezende,Sudeste,4,IES MG,14,Campus MG 1,14
13136168,Lucas Moura,Sul,5,IES RS,15,Campus RS 1,15
13136169,Henrique Duarte,Sul,5,IES SC,16,Campus SC 1,16
13136170,João Pedro Alves,Sul,5,IES PR,17,Campus PR 1,17
13136171,Lara Silva,Norte,1,IES AM,1,Campus AM 2,18
13136172,Daniela Moreira,Norte,1,IES RR,2,Campus RR 2,19
13136173,Lucca Rocha,Norte,1,IES PA,3,Campus PA 2,20
13136174,Arthur Silveira,Nordeste,2,IES BA,4,Campus BA 2,21
13136175,Raul Ribeiro,Nordeste,2,IES RN,5,Campus RN 2,22
13136176,Luiz Felipe Cavalcanti,Nordeste,2,IES SE,6,Campus SE 2,23
13136177,Ana Luiza da Cruz,Nordeste,2,IES AL,7,Campus AL 2,24
13136178,Leandro Farias,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13136179,Gabrielly Gomes,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13136180,Vitor Aragão,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13136181,João Vitor Dias,Sudeste,4,IES SP,11,Campus SP 2,28
13136182,Dr. Kaique da Rosa,Sudeste,4,IES ES,12,Campus ES 2,29
13136183,Joaquim Duarte,Sudeste,4,IES RJ,13,Campus RJ 2,30
13136184,Dra. Manuela Cavalcanti,Sudeste,4,IES MG,14,Campus MG 2,31
13136185,Luiz Miguel Costa,Sul,5,IES RS,15,Campus RS 2,32
13136186,Sabrina Rezende,Sul,5,IES SC,16,Campus SC 2,33
13136187,Beatriz Teixeira,Sul,5,IES PR,17,Campus PR 2,34
13136188,Augusto Vieira,Norte,1,IES AM,1,Campus AM 3,35
13136189,Nicolas Barros,Norte,1,IES RR,2,Campus RR 3,36
13136190,Gustavo Henrique da Cunha,Norte,1,IES PA,3,Campus PA 3,37
13136191,Daniela Sales,Nordeste,2,IES BA,4,Campus BA 3,38
13136192,Lorenzo Sales,Nordeste,2,IES RN,5,Campus RN 3,39
13136193,Bryan Azevedo,Nordeste,2,IES SE,6,Campus SE 3,40
13136194,Bianca da Luz,Nordeste,2,IES AL,7,Campus AL 3,41
13136195,Sr. Leonardo Silva,Centro-Oeste,3,IES GO,8,Campus GO 3,42
13136196,Alexia da Cruz,Centro-Oeste,3,IES DF,9,Campus DF 3,43
13136197,Matheus da Luz,Centro-Oeste,3,IES MT,10,Campus MT 3,44
13136198,Diogo Alves,Sudeste,4,IES SP,11,Campus SP 3,45
13136199,Isis Lopes,Sudeste,4,IES ES,12,Campus ES 3,46
13136200,Sr. Rafael Nogueira,Sudeste,4,IES RJ,13,Campus RJ 3,47
13136201,Rafael Viana,Sudeste,4,IES MG,14,Campus MG 3,48
13136202,Stella Santos,Sul,5,IES RS,15,Campus RS 3,49
13136203,Arthur da Conceição,Sul,5,IES SC,16,Campus SC 3,50
13136204,Srta. Helena Rocha,Sul,5,IES PR,17,Campus PR 3,51
13136205,Maria Clara Moura,Norte,1,IES AM,1,Campus AM 4,52
13136206,Maria Eduarda Fogaça,Norte,1,IES RR,2,Campus RR 4,53
13136207,Leandro Souza,Norte,1,IES PA,3,Campus PA 4,54
13136208,Luana Moura,Nordeste,2,IES BA,4,Campus BA 4,55
13136209,Dr. Vitor Pinto,Nordeste,2,IES RN,5,Campus RN 4,56
13136210,Lorena da Rocha,Nordeste,2,IES SE,6,Campus SE 4,57
13136211,Pedro Henrique Moura,Nordeste,2,IES AL,7,Campus AL 4,58
13136212,Melissa Nascimento,Centro-Oeste,3,IES GO,8,Campus GO 4,59
13136213,Sr. Levi Nascimento,Centro-Oeste,3,IES DF,9,Campus DF 4,60
13136214,Lucas Gabriel Cardoso,Centro-Oeste,3,IES MT,10,Campus MT 4,61
13136215,Dra. Fernanda Melo,Sudeste,4,IES SP,11,Campus SP 4,62
13136216,Maria Fernanda Ramos,Sudeste,4,IES ES,12,Campus ES 4,63
13136217,Srta. Maria Luiza da Paz,Sudeste,4,IES RJ,13,Campus RJ 4,64
13136218,Dra. Cecília Aragão,Sudeste,4,IES SP,11,Campus SP 1,11
13136219,Maria Sophia Sales,Sudeste,4,IES ES,12,Campus ES 1,12
13136220,Camila da Cunha,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136221,Lorena Fogaça,Sudeste,4,IES MG,14,Campus MG 1,14
13136222,Caroline Oliveira,Sul,5,IES RS,15,Campus RS 1,15
13136223,Valentina da Costa,Sul,5,IES SC,16,Campus SC 1,16
13136224,Rebeca Alves,Sul,5,IES PR,17,Campus PR 1,17
13136225,Benício Ramos,Norte,1,IES AM,1,Campus AM 2,18
13136226,Cauã Lopes,Norte,1,IES RR,2,Campus RR 2,19
13136227,Sra. Yasmin Novaes,Norte,1,IES PA,3,Campus PA 2,20
13136228,Camila da Mata,Nordeste,2,IES BA,4,Campus BA 2,21
13136229,Olivia Freitas,Nordeste,2,IES RN,5,Campus RN 2,22
13136230,Thiago Almeida,Nordeste,2,IES SE,6,Campus SE 2,23
13136231,Fernando Ribeiro,Nordeste,2,IES AL,7,Campus AL 2,24
13136232,Olivia Pires,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13136233,Valentina Fogaça,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13136234,Marcelo Melo,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13136235,Sophia Moraes,Sudeste,4,IES SP,11,Campus SP 2,28
13136236,Diego Dias,Sudeste,4,IES ES,12,Campus ES 2,29
13136237,Juan Novaes,Sudeste,4,IES RJ,13,Campus RJ 2,30
13136238,Lara Peixoto,Sudeste,4,IES SP,11,Campus SP 1,11
13136239,Alana Ferreira,Sudeste,4,IES ES,12,Campus ES 1,12
13136240,Heitor Fogaça,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136241,Yuri Porto,Sudeste,4,IES MG,14,Campus MG 1,14
13136242,Anthony das Neves,Sul,5,IES RS,15,Campus RS 1,15
13136243,Dr. Bruno da Rosa,Sul,5,IES SC,16,Campus SC 1,16
13136244,Srta. Maria Clara Moreira,Sul,5,IES PR,17,Campus PR 1,17
13136245,João Vitor Souza,Norte,1,IES AM,1,Campus AM 2,18
13136246,Calebe Viana,Norte,1,IES RR,2,Campus RR 2,19
13136247,Ana Luiza Freitas,Norte,1,IES PA,3,Campus PA 2,20
13136248,Sr. Breno Ramos,Nordeste,2,IES BA,4,Campus BA 2,21
13136249,Luna Dias,Nordeste,2,IES RN,5,Campus RN 2,22
13136250,Heitor Jesus,Nordeste,2,IES SE,6,Campus SE 2,23
13136251,Sr. Lucca Lopes,Nordeste,2,IES AL,7,Campus AL 2,24
13136252,Levi da Cruz,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13136253,Levi Rocha,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13136254,Maria Clara Costa,Norte,1,IES AM,1,Campus AM 1,1
13136255,Leonardo da Mota,Norte,1,IES RR,2,Campus RR 1,2
13136256,Esther Viana,Norte,1,IES PA,3,Campus PA 1,3
13136257,Alexandre Freitas,Nordeste,2,IES BA,4,Campus BA 1,4
13136258,Vicente Nunes,Nordeste,2,IES RN,5,Campus RN 1,5
13136259,Davi Rodrigues,Nordeste,2,IES SE,6,Campus SE 1,6
13136260,Breno Alves,Nordeste,2,IES AL,7,Campus AL 1,7
13136261,Davi Lucca Pires,Centro-Oeste,3,IES GO,8,Campus GO 1,8
13136262,Esther da Luz,Centro-Oeste,3,IES DF,9,Campus DF 1,9
13136263,Pedro Miguel Nascimento,Centro-Oeste,3,IES MT,10,Campus MT 1,10
13136264,Isabelly Silveira,Sudeste,4,IES SP,11,Campus SP 1,11
13136265,Elisa da Cruz,Sudeste,4,IES ES,12,Campus ES 1,12
13136266,Enrico Farias,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136267,Mariane da Cunha,Sudeste,4,IES MG,14,Campus MG 1,14
13136268,Igor Rezende,Sul,5,IES RS,15,Campus RS 1,15
13136269,Dra. Ana Luiza Costela,Sul,5,IES SC,16,Campus SC 1,16
13136270,Carolina Oliveira,Sul,5,IES PR,17,Campus PR 1,17
13136271,Enzo Gabriel Barros,Norte,1,IES AM,1,Campus AM 2,18
13136272,Bianca Pires,Norte,1,IES RR,2,Campus RR 2,19
13136273,Ana Luiza Castro,Norte,1,IES PA,3,Campus PA 2,20
13136274,Lorena Monteiro,Nordeste,2,IES BA,4,Campus BA 2,21
13136275,Mariana Viana,Nordeste,2,IES RN,5,Campus RN 2,22
13136276,Sra. Fernanda Costela,Nordeste,2,IES SE,6,Campus SE 2,23
13136277,Danilo Alves,Nordeste,2,IES AL,7,Campus AL 2,24
13136278,Eloah Ramos,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13136279,Dra. Catarina Mendes,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13136280,Benício da Cunha,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13136281,Marcela Viana,Sudeste,4,IES SP,11,Campus SP 2,28
13136282,Rafaela da Rocha,Sudeste,4,IES ES,12,Campus ES 2,29
13136283,Luiz Fernando Melo,Sudeste,4,IES RJ,13,Campus RJ 2,30
13136284,Luiz Felipe Rocha,Sudeste,4,IES MG,14,Campus MG 2,31
13136285,Bryan da Conceição,Sul,5,IES RS,15,Campus RS 2,32
13136286,Pedro Henrique da Paz,Sul,5,IES SC,16,Campus SC 2,33
13136287,Srta. Lorena Fogaça,Sul,5,IES PR,17,Campus PR 2,34
13136288,Dr. Noah Caldeira,Norte,1,IES AM,1,Campus AM 3,35
13136289,Ana Clara Moreira,Norte,1,IES RR,2,Campus RR 3,36
13136290,Enzo Gabriel Pereira,Norte,1,IES PA,3,Campus PA 3,37
13136291,Alexandre Jesus,Nordeste,2,IES BA,4,Campus BA 3,38
13136292,Ana Vitória Oliveira,Nordeste,2,IES RN,5,Campus RN 3,39
13136293,Maria Cardoso,Nordeste,2,IES SE,6,Campus SE 3,40
13136294,Erick Lima,Nordeste,2,IES AL,7,Campus AL 3,41
13136295,Yago Rezende,Centro-Oeste,3,IES GO,8,Campus GO 3,42
13136296,Yasmin Nunes,Centro-Oeste,3,IES DF,9,Campus DF 3,43
13136297,Thomas Lopes,Centro-Oeste,3,IES MT,10,Campus MT 3,44
13136298,Raquel Pinto,Sudeste,4,IES SP,11,Campus SP 3,45
13136299,Sr. Augusto da Mota,Sudeste,4,IES ES,12,Campus ES 3,46
13136300,Sra. Ana Lívia da Costa,Sudeste,4,IES RJ,13,Campus RJ 3,47
13136301,Dra. Maria da Paz,Sudeste,4,IES MG,14,Campus MG 3,48
13136302,Valentina da Luz,Sul,5,IES RS,15,Campus RS 3,49
13136303,Catarina da Conceição,Sul,5,IES SC,16,Campus SC 3,50
13136304,Leandro Alves,Sul,5,IES PR,17,Campus PR 3,51
13136305,Maria Luiza Jesus,Norte,1,IES AM,1,Campus AM 4,52
13136306,Srta. Helena Porto,Norte,1,IES RR,2,Campus RR 4,53
13136307,Alexandre Silva,Norte,1,IES PA,3,Campus PA 4,54
13136308,Vitor da Mota,Nordeste,2,IES BA,4,Campus BA 4,55
13136309,Lara da Costa,Nordeste,2,IES RN,5,Campus RN 4,56
13136310,Luana Viana,Nordeste,2,IES SE,6,Campus SE 4,57
13136311,Dra. Sophia Almeida,Nordeste,2,IES AL,7,Campus AL 4,58
13136312,Bárbara Santos,Centro-Oeste,3,IES GO,8,Campus GO 4,59
13136313,Pedro Miguel Barros,Centro-Oeste,3,IES DF,9,Campus DF 4,60
13136314,Dr. Enzo Lima,Centro-Oeste,3,IES MT,10,Campus MT 4,61
13136315,Dra. Maysa da Mata,Sudeste,4,IES SP,11,Campus SP 4,62
13136316,Levi da Mata,Sudeste,4,IES ES,12,Campus ES 4,63
13136317,Lara Ribeiro,Sudeste,4,IES RJ,13,Campus RJ 4,64
13136318,Clarice Viana,Sudeste,4,IES SP,11,Campus SP 1,11
13136319,Mirella Mendes,Sudeste,4,IES ES,12,Campus ES 1,12
13136320,Marcos Vinicius Nascimento,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136321,Lucca da Cunha,Sudeste,4,IES MG,14,Campus MG 1,14
13136322,Dr. Nicolas Nogueira,Sul,5,IES RS,15,Campus RS 1,15
13136323,Vitor Azevedo,Sul,5,IES SC,16,Campus SC 1,16
13136324,Pedro Lucas Viana,Sul,5,IES PR,17,Campus PR 1,17
13136325,Breno Castro,Norte,1,IES AM,1,Campus AM 2,18
13136326,Olivia Teixeira,Norte,1,IES RR,2,Campus RR 2,19
13136327,Amanda Lima,Norte,1,IES PA,3,Campus PA 2,20
13136328,Bianca das Neves,Nordeste,2,IES BA,4,Campus BA 2,21
13136329,Sarah Viana,Nordeste,2,IES RN,5,Campus RN 2,22
13136330,Vitor Gabriel Moreira,Nordeste,2,IES SE,6,Campus SE 2,23
13136331,Mariana Moraes,Nordeste,2,IES AL,7,Campus AL 2,24
13136332,Srta. Eduarda Moura,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13136333,Giovanna Fernandes,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13136334,Antônio Ferreira,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13136335,Dra. Emanuella Fogaça,Sudeste,4,IES SP,11,Campus SP 2,28
13136336,Sr. Pedro Melo,Sudeste,4,IES ES,12,Campus ES 2,29
13136337,Gustavo Henrique Fogaça,Sudeste,4,IES RJ,13,Campus RJ 2,30
13136338,Dr. Gustavo Henrique Lopes,Sudeste,4,IES SP,11,Campus SP 1,11
13136339,Cauê Teixeira,Sudeste,4,IES ES,12,Campus ES 1,12
13136340,Matheus Campos,Sudeste,4,IES RJ,13,Campus RJ 1,13
13136341,Juliana Peixoto,Sudeste,4,IES MG,14,Campus MG 1,14
13136342,Srta. Evelyn Lopes,Sul,5,IES RS,15,Campus RS 1,15
13136343,Laura Oliveira,Sul,5,IES SC,16,Campus SC 1,16
13136344,Elisa Rodrigues,Sul,5,IES PR,17,Campus PR 1,17
13136345,Vitor Monteiro,Norte,1,IES AM,1,Campus AM 2,18
13136346,Isaac Souza,Norte,1,IES RR,2,Campus RR 2,19
13136347,Beatriz Moreira,Norte,1,IES PA,3,Campus PA 2,20
13136348,Luiz Henrique Melo,Nordeste,2,IES BA,4,Campus BA 2,21
